,Unnamed: 0,name,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_entire_homes.1,calculated_host_listings_count_shared_rooms,reviews_per_month
0,0,"Duplex avec vue, centre ville",269557,Isabelle,2010-10-24,"Lyon, France",I'm 47 years old. I enjoy books and arts. I'm from Lyon and I would be glad to welcome you.,within a few hours,1.0,f,5th Arrondissement,1.0,3.0,t,5e Arrondissement,45.76314,4.82976,Entire rental unit,Entire home/apt,5,2.5,3.0,6.0,130.0,90,1125,30,90,1125,1125,79.7,1125.0,14,14,27,302,56,1,0,2024-06-30,4.7,4.71,4.78,4.86,"Available with a mobility lease only (""bail mobilité"")",f,1,1,1,0,0.33
2,2,"Centre of old town,home sweet home",660135,Polali,2011-06-03,"Lyon, France","J'ai 34 ans , je suis animatrice auprès de personnes âgées en maison de retraite. J'aime la musique et les arts vivants, les belles rencontres et les bons petits plats. J'ai d'ailleurs plein de bonnes adresses à vous donner !",a few days or more,0.0,f,5th Arrondissement,1.0,2.0,t,5e Arrondissement,45.7593,4.82548,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,185.0,2,30,2,2,30,30,2.0,30.0,27,57,87,87,134,2,0,2024-06-04,4.48,4.27,4.72,4.86,6938513221658,f,1,1,1,0,0.82
3,3,"Bel apartment, 2 rooms, Lyon center",670404,Sandrine,2011-06-06,"Lyon, France","We are a family with 3 daughters, aged 16-14-11, and have been living in Lyon for more than 10 years. Our main home is located very close to the appartment.",,,f,,1.0,1.0,t,6e Arrondissement,45.7688446044922,4.85416221618652,Entire condo,Entire home/apt,2,1.0,1.0,1.0,88.0,365,730,365,365,730,730,365.0,730.0,0,0,0,98,20,0,0,2019-12-28,4.78,4.89,4.89,4.95,693861800177,f,1,1,1,0,0.12
167,167,Terrace Heart Strirring View Fourvière/Vieux Lyon,12511374,Isabelle,2014-02-23,"Lyon, France","Dynamique, sportive, aimant voyager (surtout l'Asie), naviguer sur voilier... Mes déplacements quotidiens en vélo plutôt qu'en voiture par souci écologique et pour entretenir ma condition physique..._x000D_
Les produits bios plutôt qu'industriels par souci de santé et de respect de la nature, le développement durable et le tourisme équitable pour le goût des autres et la rétribution juste de leur travail...Musique, danse, cinéma, lecture, écriture : l'art d'exprimer ses émotions sous toutes ses formes...Carpe Diem !",within a few hours,1.0,t,,2.0,3.0,t,5e Arrondissement,45.7606391906738,4.81964302062988,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,83.0,3,120,3,3,120,120,3.0,120.0,29,59,89,364,171,11,0,2024-09-11,4.75,4.7,4.86,4.87,6938513023403,f,1,1,1,0,1.32
186,186,Agréable T2 Lyon1er/Croix Rousse,14790563,Isabelle,2014-04-27,"Lyon, France","Il s'agit d'un appartement que j'ai rénové il y a quelques années et dans lequel je vis quand je ne suis pas en déplacement pour mon travail._x000D_
Je souhaite en faire profiter des personnes curieuses de découvrir ce quartier que j'apprécie particulièrement.",,,f,,1.0,1.0,t,1er Arrondissement,45.77426,4.8355,Entire rental unit,Entire home/apt,4,,2.0,,,10,100,10,10,100,100,10.0,100.0,0,0,0,0,16,0,0,2021-07-22,4.94,4.88,4.8,4.88,6938112676984,f,1,1,1,0,0.12
213,213,Appartement ancien. 170 m2 en plein coeur de Lyon.,16889087,Sandrine,2014-06-17,"Salazac, France",,within a few hours,1.0,f,,3.0,3.0,t,2e Arrondissement,45.76445,4.83257,Entire rental unit,Entire home/apt,6,,4.0,,,3,21,3,3,21,21,3.0,21.0,0,0,0,0,31,0,0,2022-04-24,4.94,4.87,5.0,5.0,6938312919925,f,1,1,1,0,0.26
275,275,T3 - Lyon 8 - Fête des lumières,7204071,Isabelle,2013-06-30,"Lyon, France",,,,f,8th Arrondissement,1.0,1.0,t,8e Arrondissement,45.73381,4.87549,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,145.0,365,1125,365,365,1125,1125,365.0,1125.0,29,59,89,364,5,0,0,2020-02-27,4.6,5.0,5.0,4.0,,f,1,1,1,0,0.04
576,576,"Apart quiet, air fresh, 1 week and more",27739187,Sandrine,2015-02-14,"Lyon, France",,,,f,7th Arrondissement,1.0,1.0,t,7e Arrondissement,45.75021,4.84736,Entire rental unit,Entire home/apt,8,2.0,2.0,6.0,70.0,365,600,365,365,600,600,365.0,600.0,30,60,90,365,9,0,0,2018-08-08,4.78,4.67,4.78,4.67,,f,1,1,1,0,0.08
608,608,Le véritable esprit Airbnb au cœur de lyon,29023582,Isabelle,2015-03-09,"Lyon, France","Bonjour_x000D_
J'adore voyager et la découverte d'une nouvelle destination est à mon sens encore plus sympathique et authentique en logeant chez quelqu'un. Aussi bien hôte que locataire, je prendrai soin de votre chez vous tout comme j'espère que vous serez respectueux de mon chez moi!",,,f,4th Arrondissement,1.0,1.0,t,4e Arrondissement,45.77805,4.83444,Entire rental unit,Entire home/apt,3,,1.0,,,365,1125,365,365,1125,1125,365.0,1125.0,0,0,0,0,16,0,0,2017-09-10,5.0,4.93,5.0,4.94,20210916-1094,f,1,1,1,0,0.14
657,657,"chambre à 5 mn parc, centre lyon",33209078,Isabelle,2015-05-12,"Lyon, France","Possibilité de partager en toute simplicité un diner à la maison ou mise à disposition de la cuisine si vous souhaitez faire rechauffer un plat._x000D_
Nous aimons les randonnées urbaines, discussion, restaurant, convivialité, simplicité._x000D_
Possibilité d'arrivée tardive, idéalement situé, proche du parc, proche métro_x000D_
Nous répondons dans des délais très brefs",,,f,6th Arrondissement,2.0,2.0,t,6e Arrondissement,45.77168,4.84713,Private room in bed and breakfast,Private room,1,,,,,1,4,1,1,4,4,1.0,4.0,0,0,0,0,96,0,0,2020-01-23,4.69,4.94,4.89,4.8,,t,2,0,0,0,0.83
714,714,Agréable T2 quartier Guillotière à 2 min des quais,9672363,Isabelle,2013-10-28,"Valence, France","Traveling, sport (golf, badminton, scuba diving, ski), cooking.",,,f,7th Arrondissement,2.0,2.0,t,7e Arrondissement,45.7537,4.84253,Entire rental unit,Entire home/apt,3,,1.0,,,365,1125,365,365,1125,1125,365.0,1125.0,0,0,0,0,0,0,0,,,,,,,f,1,1,1,0,
874,874,Chambre privée spacieuse proche centre ville,33209078,Isabelle,2015-05-12,"Lyon, France","Possibilité de partager en toute simplicité un diner à la maison ou mise à disposition de la cuisine si vous souhaitez faire rechauffer un plat._x000D_
Nous aimons les randonnées urbaines, discussion, restaurant, convivialité, simplicité._x000D_
Possibilité d'arrivée tardive, idéalement situé, proche du parc, proche métro_x000D_
Nous répondons dans des délais très brefs",,,f,6th Arrondissement,2.0,2.0,t,6e Arrondissement,45.77568,4.84635,Private room in rental unit,Private room,1,,,,,1,2,1,1,2,2,1.0,2.0,0,0,0,0,30,0,0,2018-06-14,4.83,4.87,4.97,4.89,,t,2,0,0,0,0.31
902,902,Bienvenu ! 45m2 centre quais cosy !,8567760,Sandrine,2013-09-01,"Paris, France",,,,f,,1.0,1.0,f,7e Arrondissement,45.74971,4.83467,Entire rental unit,Entire home/apt,2,,1.0,,,365,1125,365,365,1125,1125,365.0,1125.0,0,0,0,0,23,0,0,2019-08-04,4.74,4.83,4.91,4.78,,f,1,1,1,0,0.21
1093,1093,Vieux Lyon,48426646,Isabelle,2015-11-07,"Lemps, France","Au coeur du vieux Lyon, dans le quartier de Saint Georges, à deux pas de la place Bellecourt, je vous propose un bel appartement tout confort, cuisine équipée, lave vaisselle, machine à laver sèche linge, douche / grande baignoire 2 places, 4 à 6 couchages, poêle à bois pour mieux profiter de l'hiver et de vos amis ! ;-) vous êtes chez vous, comme à la maison !",within an hour,1.0,t,5th Arrondissement,4.0,5.0,t,5e Arrondissement,45.75803,4.82516,Entire rental unit,Entire home/apt,4,1.0,1.0,4.0,89.0,1,1125,1,1,1125,1125,1.0,1125.0,13,38,67,156,767,80,7,2024-12-07,4.75,4.79,4.86,4.91,6938524482665,f,1,1,1,0,7.01
1216,1216,63m2 quais du Rhône-Halles Bocuse,18338184,Isabelle,2014-07-18,"Léoncel, France",,within an hour,1.0,t,3rd Arrondissement,2.0,2.0,t,3e Arrondissement,45.76263,4.84617,Entire rental unit,Entire home/apt,4,,2.0,,,7,60,7,7,60,60,7.0,60.0,0,0,0,0,43,6,0,2024-09-12,4.74,4.65,4.88,4.9,6938312526678,t,1,1,1,0,0.41
1294,1294,Studio quartier Brotteaux-Tête d'Or,13551349,Isabelle,2014-03-26,"Lyon, France",,within an hour,1.0,f,6th Arrondissement,1.0,5.0,t,6e Arrondissement,45.76794,4.85921,Entire rental unit,Entire home/apt,1,1.0,0.0,1.0,37.0,2,21,2,2,21,21,2.0,21.0,19,37,62,321,425,63,2,2024-12-09,4.44,4.53,4.79,4.9,6938624495504,f,1,1,1,0,3.96
1460,1460,Appartement familial Lyon 5,66401828,Sandrine,2016-04-09,"Lyon, France","Parents de deux jeunes enfants, nous adorons voyager et leur faire découvrir de nouvelles destinations. Lyonnais d'adoption nous aimons beaucoup faire découvrir Lyon à nos proches et amis. Le partage est au cœur de notre vie. ",within a day,0.8,f,5th Arrondissement,1.0,1.0,t,5e Arrondissement,45.7539,4.80239,Entire rental unit,Entire home/apt,6,1.0,3.0,4.0,89.0,1,1125,1,1,1125,1125,1.0,1125.0,3,3,14,45,16,0,0,2023-12-10,4.56,4.31,4.81,4.63,6938512989155,f,1,1,1,0,0.37
1615,1615,Independant room close to the Parc de la Tête d'Or,33538228,Isabelle,2015-05-17,"Lyon, France",,,,f,6th Arrondissement,1.0,1.0,t,6e Arrondissement,45.7759,4.84486,Private room in rental unit,Private room,2,,,,,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,10,0,0,2017-05-27,4.3,4.2,4.8,4.6,,f,1,0,0,0,0.1
1638,1638,T2 climatisé métro Garibaldi (46 m² + terrasse),74562468,Isabelle,2016-05-29,"L'Horme, France",,,,f,7th Arrondissement,1.0,1.0,t,7e Arrondissement,45.74815,4.85505,Entire rental unit,Entire home/apt,3,,1.0,,,6,60,6,6,60,60,6.0,60.0,0,0,0,0,17,0,0,2021-05-26,4.82,4.88,5.0,4.93,6938712546265,f,1,1,1,0,0.16
1826,1826,Sunny Appartment ❤️ Coeur Croix-Rousse Terrace!,15778352,Isabelle,2014-05-20,"Lyon, France",,,,f,4th Arrondissement,1.0,2.0,t,4e Arrondissement,45.77947,4.82795,Entire condo,Entire home/apt,5,2.0,3.0,3.0,175.0,365,1124,365,365,1124,1124,365.0,1124.0,28,58,88,363,35,0,0,2019-12-10,5.0,5.0,5.0,4.89,,f,1,1,1,0,0.35
1890,1890,Bel appartement meublé 75 m2 + parking et balcon,41728794,Isabelle,2015-08-17,"Sciez, France","Depuis de longues années, je voyage à travers le monde en famille (j'ai 2 enfants, mais la famille est parfois bien plus élargie lors de voyages avec les grands-parents, les cousins...) et je suis sensible à l'accueil qui nous est réservé, à la chaleur avec laquelle on cherche à nous faire apprécier un lieu. _x000D_
J'aime également transmettre cette chaleur accueillante aux personnes qui viennent s'imprégner de Lyon.",within an hour,1.0,t,7th Arrondissement,3.0,3.0,t,7e Arrondissement,45.75242,4.85093,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,119.0,31,1125,31,31,1125,1125,31.0,1125.0,12,12,12,172,36,3,0,2024-09-07,4.94,4.94,5.0,4.78,"Available with a mobility lease only (""bail mobilité"")",f,2,2,2,0,0.51
2107,2107,"Rez de jardin, Croix Rousse centre, atypique",106634375,Isabelle,2016-12-08,"Lyon, France",,within an hour,1.0,t,4th Arrondissement,1.0,1.0,t,4e Arrondissement,45.77701,4.83201,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,90.0,3,1125,3,3,1125,1125,3.0,1125.0,20,50,80,355,100,9,0,2024-09-30,4.82,4.94,4.9,4.95,6938412883076,f,1,1,1,0,1.09
2152,2152,Private room close from the Parc de la Tête d'or,103185130,Sandrine,2016-11-10,"Lyon, France",,,,f,6th Arrondissement,1.0,1.0,f,6e Arrondissement,45.76835,4.85595,Private room in rental unit,Private room,2,,,,,2,8,2,2,8,8,2.0,8.0,0,0,0,0,2,0,0,2017-09-08,5.0,5.0,5.0,4.5,,t,1,0,0,0,0.02
2222,2222,Esprit HOME / Clim/ 2 chambres/garage gratuit,11235948,Isabelle,2014-01-12,"Pallud, France","J'ai découvert Lyon et j'en suis tombée amoureuse !! 
Cette belle ville nous entraîne à travers son histoire et son futur .
J'aime flâner sur les bords de Saône, vers l'île Barbe, puis acheter mes légumes sur le marché Cordelier, puis dîner sur une péniche . Le bonheur simple .

J'aime les voyages, mais Lyon reste mon port d'attache .



",within an hour,1.0,t,3rd Arrondissement,1.0,2.0,t,3e Arrondissement,45.75446,4.85743,Entire rental unit,Entire home/apt,4,1.5,2.0,4.0,90.0,2,30,2,2,1125,1125,2.0,1125.0,5,7,17,36,222,29,2,2024-12-08,4.92,4.93,4.9,4.78,6938312661389,f,1,1,1,0,2.43
2566,2566,Chambre dans Appart / Terrasse - Metro D,18529551,Isabelle,2014-07-21,"Lyon, France","Moi c’est Isa j’ai la cinquantaine j’occupe toute l’année ce bel appartement en rez-de-jardin - terrasse avec mes deux chats ; 
Je propose à une autre femme - je n’accepte pas d’homme seul - mais j’étudie toutes les demandes particulières de la part d’un couple de femmes ou homme/femme pour plusieurs nuits - la jouissance de la cuisine ouverte sur le séjour, la salle de bain, les toilettes et de ma terrasse.",within an hour,1.0,t,,1.0,1.0,t,8e Arrondissement,45.73865,4.88485,Private room in condo,Private room,1,1.0,1.0,1.0,66.0,1,1125,1,1,1125,1125,1.0,1125.0,29,55,85,360,43,13,3,2024-12-08,4.95,4.95,5.0,4.98,6938812948787,f,1,0,0,0,0.5
2616,2616,Appartement croix rousse magnifique vue sur Lyon,5595417,Isabelle,2013-03-24,"Lyon, France","Je suis formatrice en entreprise sophrologue attachée au bien être, à la nature.",within an hour,1.0,t,4th Arrondissement,1.0,1.0,t,4e Arrondissement,45.77634,4.83627,Entire condo,Entire home/apt,4,1.0,2.0,3.0,80.0,3,60,3,365,60,365,20.2,74.5,6,35,56,289,120,12,0,2024-09-04,4.89,4.84,4.87,4.83,6938424530202,f,1,1,1,0,1.41
2765,2765,"T1bis de 32m² tout équipé, Lyon 8",160631871,Isabelle,2017-11-29,"L'Isle-d'Abeau, France",.,,,f,8th Arrondissement,1.0,1.0,t,8e Arrondissement,45.73134,4.85447,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,45.0,15,150,15,15,150,150,15.0,150.0,0,0,0,74,24,0,0,2023-10-16,4.75,4.54,4.92,4.38,6938812981847,f,1,1,1,0,0.28
2912,2912,Canut de 70m2 au coeur de la Croix-Rousse,13195642,Sandrine,2014-03-16,"Lyon, France","Lyonnaise d'adoption depuis 7 ans, j'aime beaucoup cette ville et tout particulièrement le quartier de la Croix Rousse vivant et populaire. Je vous accueille à mon domicile... pendant que vous êtes chez moi, je serai en visite ailleurs...peut-être chez vous….
Bienvenue!",within a day,1.0,f,4th Arrondissement,1.0,1.0,t,4e Arrondissement,45.775,4.83574,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,90.0,2,1125,1,2,1125,1125,2.0,1125.0,3,5,18,64,15,3,0,2024-11-03,4.8,4.53,4.67,4.8,6938413352537,f,1,1,1,0,0.53
