,Unnamed: 0,name,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_entire_homes.1,calculated_host_listings_count_shared_rooms,reviews_per_month
159,159,"Standing, 2 rooms, 110 sq, Place Bellecour",451047676,Aline,2022-03-24,"Lyon, France",je suis une gérante d'une conciergerie sur Lyon je voyage avec ma famille et je prend souvent des airbnb,within an hour,1.0,f,,62.0,63.0,t,2e Arrondissement,45.7572,4.83302,Entire rental unit,Entire home/apt,6,2.5,2.0,2.0,131.0,1,90,1,2,90,90,1.2,90.0,14,43,71,208,47,2,2,2024-12-09,4.91,4.77,4.96,4.96,6938213041302,f,22,21,21,0,0.38
161,161,Amazing Artistic Flat Fit 4 - Vieux Lyon,402191311,GuestReady,2021-05-18,,"Hi there!

We're GuestReady, a professional property management company helping hosts around the world deliver outstanding experiences to their guests.

We welcome all guests, clean and prepare our homes for your arrival and will be available 24/7, should you have any questions or requests. From the second you book with us to the moment you check-out, we’re here to make sure you have a smooth and comfortable stay!

With our years of experience in the hospitality business, you can be assured of a fantastic stay at any of GuestReady's properties. We manage multiple properties around town, so if you're looking for something specific, do let us know and we'd be happy to help you find the perfect place just for you.
We're looking forward to meeting you and are always ready to answer any of your questions!

Warm regards,
GuestReady Team",,,f,Palais Royal,296.0,1591.0,f,5e Arrondissement,45.76341,4.82828,Entire rental unit,Entire home/apt,4,2.5,1.0,1.0,100.0,2,1125,2,2,1125,1125,2.0,1125.0,23,48,78,311,171,26,1,2024-12-13,4.79,4.68,4.87,4.96,6938512563840,f,13,13,13,0,1.98
1367,1367,La Suite Mercière - Loft de luxe en plein centre,518347642,Marie &  Mathilde,2023-06-05,"Meyzieu, France","Mère et fille, nous aimons offrir le meilleur  aux voyageurs. Nous vous  recevons dans un cocon apaisant, où tout est pensé pour votre confort. Connaissant parfaitement Lyon et sa région, nous vous conseillerons  pour vous permettre de passer un excellent séjour. 
Proposant divers services, ( livraison de petits déj, frigo plein,  champagne...) N'hésitez pas à nous demander ce qui ferait de votre séjour chez nous,  la meilleure des expériences.",within an hour,1.0,f,Farges,26.0,26.0,t,2e Arrondissement,45.76192,4.83401,Entire loft,Entire home/apt,5,1.0,1.0,3.0,240.0,1,365,1,2,365,365,1.6,365.0,14,33,61,301,35,3,1,2024-12-13,4.91,4.89,4.94,4.86,6938212471772,f,11,11,11,0,0.33
1423,1423,Centre Presqu'Ile - Bel appartement 4 pers.,369826491,WeHost,2020-09-29,"Lyon, France",,within an hour,0.99,f,2nd Arrondissement,53.0,76.0,t,2e Arrondissement,45.7537460327148,4.82538414001465,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,81.0,3,30,3,3,30,30,3.0,30.0,15,45,75,93,141,35,2,2024-11-24,4.63,4.53,4.7,4.93,6938212688439,t,41,41,41,0,1.55
1622,1622,Studio Cosy au Cœur de la Part Dieu,451047676,Aline,2022-03-24,"Lyon, France",je suis une gérante d'une conciergerie sur Lyon je voyage avec ma famille et je prend souvent des airbnb,within an hour,1.0,f,,62.0,63.0,t,3e Arrondissement,45.76345,4.85148,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,80.0,1,1125,1,1,1125,1125,1.0,1125.0,30,60,90,286,187,32,7,2024-12-08,4.6,4.79,4.81,4.83,6938612550549,t,22,21,21,0,1.85
1692,1692,Sunny and cosy studio in heart of historic Lyon,468181862,Véronique,2022-07-07,"Arrondissement de Mâcon, France",,,,f,,1.0,1.0,f,5e Arrondissement,45.76506,4.82818,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,73.0,2,65,2,2,1125,1125,2.0,1125.0,13,37,67,293,459,41,1,2024-11-26,4.87,4.87,4.93,4.97,6938513033103,f,1,1,1,0,4.46
1835,1835,Studio Entre Bellecour et Part Dieu,451047676,Aline,2022-03-24,"Lyon, France",je suis une gérante d'une conciergerie sur Lyon je voyage avec ma famille et je prend souvent des airbnb,within an hour,1.0,f,,62.0,63.0,t,3e Arrondissement,45.75561,4.84273,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,70.0,1,1125,1,2,1125,1125,1.0,1125.0,30,38,52,248,163,28,2,2024-12-06,4.47,4.64,4.65,4.71,6938312607743,t,22,21,21,0,1.65
1972,1972,Family Room au HO36,339993818,Audrey,2020-03-03,,,within an hour,1.0,f,7th Arrondissement,1.0,4.0,t,7e Arrondissement,45.75401,4.84304,Room in hotel,Private room,6,,1.0,,,1,1125,1,1,999,999,1.0,999.0,23,47,75,346,83,27,0,2024-11-11,4.64,4.61,4.66,4.37,,t,1,0,0,0,0.85
2224,2224,GuestReady - Bohemian and Chic Studio Vieux Lyon,402191311,GuestReady,2021-05-18,,"Hi there!

We're GuestReady, a professional property management company helping hosts around the world deliver outstanding experiences to their guests.

We welcome all guests, clean and prepare our homes for your arrival and will be available 24/7, should you have any questions or requests. From the second you book with us to the moment you check-out, we’re here to make sure you have a smooth and comfortable stay!

With our years of experience in the hospitality business, you can be assured of a fantastic stay at any of GuestReady's properties. We manage multiple properties around town, so if you're looking for something specific, do let us know and we'd be happy to help you find the perfect place just for you.
We're looking forward to meeting you and are always ready to answer any of your questions!

Warm regards,
GuestReady Team",,,f,Palais Royal,296.0,1591.0,f,5e Arrondissement,45.76397,4.82926,Entire rental unit,Entire home/apt,4,1.0,0.0,2.0,104.0,1,1125,1,1,1,1125,1.0,146.5,17,39,66,324,193,11,1,2024-11-26,4.45,4.4,4.64,4.79,6938512424377,t,13,13,13,0,2.11
2248,2248,Dify Le Confetti - Bellecour,507610557,Agrippine,2023-03-29,,,,,f,,43.0,63.0,t,2e Arrondissement,45.75557,4.8265,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,98.0,1,1125,1,3,2,1125,2.7,85.7,19,49,79,354,106,21,0,2024-10-13,4.48,4.45,4.71,4.84,6938212971323,t,35,35,35,0,1.22
