,Unnamed: 0,name,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_entire_homes.1,calculated_host_listings_count_shared_rooms,reviews_per_month
0,0,"Duplex avec vue, centre ville",269557,Isabelle,2010-10-24,"Lyon, France",I'm 47 years old. I enjoy books and arts. I'm from Lyon and I would be glad to welcome you.,within a few hours,1.0,f,5th Arrondissement,1.0,3.0,t,5e Arrondissement,45.76314,4.82976,Entire rental unit,Entire home/apt,5,2.5,3.0,6.0,130.0,90,1125,30,90,1125,1125,79.7,1125.0,14,14,27,302,56,1,0,2024-06-30,4.7,4.71,4.78,4.86,"Available with a mobility lease only (""bail mobilité"")",f,1,1,1,0,0.33
9,9,Roomy and luminous apartment,1683652,NATHALIE Et ALAIN,2012-02-01,"Lyon, France","Nous avons 2 garçons de 22 et 25 ans. Nous adorons voyager  et passer du  temps en famille ou entre amis. C'est un plaisir de recevoir du monde chez nous et à Lyon, grande et belle ville où l'on peut tout faire.",within an hour,1.0,f,3rd Arrondissement,3.0,3.0,t,3e Arrondissement,45.7467,4.87099,Entire rental unit,Entire home/apt,6,2.0,2.0,2.0,77.0,2,12,2,2,12,12,2.0,12.0,1,1,13,13,28,3,0,2024-08-17,4.79,4.61,4.86,4.79,6938312655352,f,1,1,1,0,0.19
10,10,"★SAXE & THE CITY★ 90m², Quiet, Balcony, Clean++ ❤️",1738855,Amael Et Ida,2012-02-12,"Lyon, France","Avides de voyages, nous avons commencé à louer notre appartement afin de financer un tour du monde de un an. Depuis, la bougeotte ne nous a pas quitté, et la location de notre appartement nous permet de poursuivre notre chemin tout en disposant de notre logement lorsque nous en avons besoin!_x000D_
_x000D_
Que vous veniez à Lyon pour des raisons professionnelles ou pour visiter, en famille ou entre amis, notre appartement confortable et de grande capacité vous permettra de passer un séjour agréable. _x000D_
_x000D_
Nous sommes des hôtes discrets mais nous répondrons toujours présent pour vous donner les conseils dont vous pourriez avoir besoin. N'hésitez pas à nous contacter, nous essayons d'être au plus réactif et à l'écoute de vos attentes afin que votre séjour soit le plus agréable possible ! _x000D_
_x000D_
A très bientôt à Lyon ou ailleurs, puisque nous sommes aussi des utilisateurs du site en tant que voyageurs!",within an hour,1.0,t,3rd Arrondissement,1.0,3.0,t,3e Arrondissement,45.75383,4.84758,Entire rental unit,Entire home/apt,8,1.5,3.0,5.0,194.0,1,1125,1,1,1,1125,1.0,81.0,7,27,54,286,353,38,2,2024-11-27,4.84,4.74,4.9,4.72,6938312360788,t,1,1,1,0,2.32
13,13,"in downtown LYON, your little PROVENCE",718463,Lionel,2011-06-19,"Lyon, France","Sympathiques évidemment !
Nous sommes tous passionnés de rencontre et très curieux.

Hello,
We are friendly people, fore sure ;-)
Working in tech, we are found of people, creation and nature. ",within an hour,1.0,f,1st Arrondissement,1.0,1.0,t,1er Arrondissement,45.769253,4.829836,Entire rental unit,Entire home/apt,3,,2.0,,,2,28,2,2,28,28,2.0,28.0,0,0,0,0,74,4,0,2024-07-30,4.58,4.58,4.74,4.9,6938112646993,f,1,1,1,0,0.48
14,14,Cosy 2-bedroom flat at the heart of Lyon,2070908,Amy,2012-04-04,"Lyon, France","English translator and musician living in France with a passion for live music, art, travel and meeting new people. _x000D_
_x000D_
I am very easy-going and enjoy helping people out especially when they come to new cities.",,,f,1st Arrondissement,1.0,1.0,t,1er Arrondissement,45.76913,4.83567,Entire rental unit,Entire home/apt,4,,2.0,,,365,1125,365,365,1125,1125,365.0,1125.0,0,0,0,0,0,0,0,,,,,,,f,1,1,1,0,
16,16,Belle chambre libre dans un T3,2928155,Fadel,2012-07-13,"Lyon, France","Homme de 29 ans, sérieux et agréable",,,f,,1.0,1.0,f,7e Arrondissement,45.74275,4.83755,Private room in rental unit,Private room,2,,,,,4,14,4,4,14,14,4.0,14.0,0,0,0,0,6,0,0,2015-01-16,4.83,5.0,5.0,4.33,,f,1,0,0,0,0.04
19,19,"❤️   Lyon 70 m² Quiet, with Balcony, Clean++ ❤️",1803736,Lisa,2012-02-24,"Valencia, Spain","Intriguée par l'être humain et sa complexité, je m'intéresse à la santé, au bien-être et à la science, ce qui est l'essence même de mon travail._x000D_
Passionnée de danse sociale, l'univers de mes soirées varie entre bachata, kizomba, west coast swing ou encore tango argentin..._x000D_
Avide de voyages, j'ai commencé à louer mon appartement afin de financer un tour du monde d’un an. Depuis, la bougeotte ne m'a pas quittée, et la location me permet de poursuivre mon chemin tout en disposant de mon logement lorsque j'en ai besoin, ce chez moi que j'aime tant et que j'ai entièrement rénové moi-même, et dont vous pourrez je l'espère profiter !_x000D_
*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*_x000D_
Intrigued by the human body and its complexity, I am interested in health, wellness and science, which is the essence of my work._x000D_
Passionate social dancer, my evenings alternate between the world of bachata, kizomba, west coast swing or argentine tango…_x000D_
Keen to travel, I started renting my home in order to fund a one year world trip. Since then, it seems I have not been able to settle down, and short-term rentals allow me to keep moving around while being able to come back to my apartment anytime I want, this home I genuinely love and renovated myself entirely, and which I hope you will enjoy!  ",within an hour,1.0,f,6th Arrondissement,2.0,2.0,t,6e Arrondissement,45.76648,4.84947,Entire rental unit,Entire home/apt,4,1.5,2.0,3.0,147.0,1,1125,1,31,46,540,2.1,340.9,2,13,43,270,244,20,1,2024-11-30,4.81,4.76,4.92,4.79,6938612352787,f,1,1,1,0,1.64
23,23,Un grand appartement à Lyon,3922797,Sylvain,2012-10-19,"Lyon, France","Nos filles s'ennuient s'il n'y a pas ""d'invités"" à la maison. On s'est dit que notre appartement ne devait pas rester vide même quand nous ne sommes pas là puisque c'est sa vocation ! Découvrir une région dans des conditions super confortables, en famille, c'est ce que nous recherchons et aussi ce que nous proposons ! Au plaisir de vous rencontrer bientôt !",within a few hours,1.0,t,7th Arrondissement,1.0,1.0,t,7e Arrondissement,45.74071,4.84146,Entire rental unit,Entire home/apt,6,2.0,4.0,4.0,140.0,2,20,2,4,20,20,2.1,20.0,0,0,7,24,109,8,1,2024-12-08,4.94,4.95,4.99,4.65,6938712604861,f,1,1,1,0,0.74
24,24,Chambre Presqu'île,3994549,Florian,2012-10-28,"Lyon, France",,,,f,2nd Arrondissement,1.0,3.0,t,2e Arrondissement,45.75293,4.83113,Private room in rental unit,Private room,2,,,,,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,13,0,0,2015-08-28,4.85,4.62,5.0,5.0,,f,1,0,0,0,0.11
25,25,Lovely  Apt 10mn from Lyon center,2013018,Françoise,2012-03-26,"Sainte-Foy-lès-Lyon, France","Bonjour !_x000D_
Nous serons ravis de vous accueillir ma famille et moi. Nous adorons voyager, rencontrer du monde, de nouvelles cultures ou coutumes. _x000D_
Nous saurons rendre votre séjour agréable !",,,f,,1.0,1.0,t,5e Arrondissement,45.7486,4.81133,Entire townhouse,Entire home/apt,6,,1.0,,,2,40,2,2,40,40,2.0,40.0,0,0,0,0,79,0,0,2020-02-19,4.85,4.9,4.94,4.48,,f,1,1,1,0,0.54
