,Unnamed: 0,name,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_entire_homes.1,calculated_host_listings_count_shared_rooms,reviews_per_month
0,0,"Duplex avec vue, centre ville",269557,Isabelle,2010-10-24,"Lyon, France",I'm 47 years old. I enjoy books and arts. I'm from Lyon and I would be glad to welcome you.,within a few hours,1.0,f,5th Arrondissement,1.0,3.0,t,5e Arrondissement,45.76314,4.82976,Entire rental unit,Entire home/apt,5,2.5,3.0,6.0,130.0,90,1125,30,90,1125,1125,79.7,1125.0,14,14,27,302,56,1,0,2024-06-30,4.7,4.71,4.78,4.86,"Available with a mobility lease only (""bail mobilité"")",f,1,1,1,0,0.33
1,1,Nice Flat in the center of Lyon,411285,Clementine,2011-02-26,"Lyon, France","Je travaille dans le cinéma et je voyage beaucoup. J'aime tout particulièrement les Etats Unis._x000D_
Je parle anglais et français et j'ai des notions d'espagnol et d'italien._x000D_
",within an hour,1.0,f,,1.0,1.0,t,1er Arrondissement,45.76842,4.82745,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,100.0,2,15,2,2,15,15,2.0,15.0,23,53,83,83,26,2,1,2024-12-08,4.75,4.8,4.96,4.88,6938113058353,f,1,1,1,0,0.15
2,2,"Centre of old town,home sweet home",660135,Polali,2011-06-03,"Lyon, France","J'ai 34 ans , je suis animatrice auprès de personnes âgées en maison de retraite. J'aime la musique et les arts vivants, les belles rencontres et les bons petits plats. J'ai d'ailleurs plein de bonnes adresses à vous donner !",a few days or more,0.0,f,5th Arrondissement,1.0,2.0,t,5e Arrondissement,45.7593,4.82548,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,185.0,2,30,2,2,30,30,2.0,30.0,27,57,87,87,134,2,0,2024-06-04,4.48,4.27,4.72,4.86,6938513221658,f,1,1,1,0,0.82
4,4,Quartier Terreaux 4/6 pers. Hyper centre / Clim,832917,Giuseppina,2011-07-18,"Rhône-Alpes, France","Mon pays d'origine est l'Italie, mais je réside en France depuis de longues années. J'aime beaucoup Lyon ma ville d'adoption.",within an hour,1.0,f,1st Arrondissement,5.0,5.0,t,1er Arrondissement,45.76695,4.83241,Entire rental unit,Entire home/apt,6,1.0,3.0,4.0,194.0,2,90,2,2,1125,1125,2.0,1125.0,21,49,79,169,452,32,2,2024-11-24,4.62,4.86,4.83,4.88,6938112368465,f,2,2,2,0,2.99
10,10,"★SAXE & THE CITY★ 90m², Quiet, Balcony, Clean++ ❤️",1738855,Amael Et Ida,2012-02-12,"Lyon, France","Avides de voyages, nous avons commencé à louer notre appartement afin de financer un tour du monde de un an. Depuis, la bougeotte ne nous a pas quitté, et la location de notre appartement nous permet de poursuivre notre chemin tout en disposant de notre logement lorsque nous en avons besoin!_x000D_
_x000D_
Que vous veniez à Lyon pour des raisons professionnelles ou pour visiter, en famille ou entre amis, notre appartement confortable et de grande capacité vous permettra de passer un séjour agréable. _x000D_
_x000D_
Nous sommes des hôtes discrets mais nous répondrons toujours présent pour vous donner les conseils dont vous pourriez avoir besoin. N'hésitez pas à nous contacter, nous essayons d'être au plus réactif et à l'écoute de vos attentes afin que votre séjour soit le plus agréable possible ! _x000D_
_x000D_
A très bientôt à Lyon ou ailleurs, puisque nous sommes aussi des utilisateurs du site en tant que voyageurs!",within an hour,1.0,t,3rd Arrondissement,1.0,3.0,t,3e Arrondissement,45.75383,4.84758,Entire rental unit,Entire home/apt,8,1.5,3.0,5.0,194.0,1,1125,1,1,1,1125,1.0,81.0,7,27,54,286,353,38,2,2024-11-27,4.84,4.74,4.9,4.72,6938312360788,t,1,1,1,0,2.32
15,15,Charming rooftop house terrace and view Fourviere,2711663,Julie Et Michael,2012-06-22,"Lyon, France","Lyonnaise de naissance et passionnée par l'histoire de ma ville, j'ai créé le gîte chambre d'hôtes les Toits de Lyon avec mon compagnon Michael pour rencontrer des personnes de tous horizons et leur faire découvrir notre ville en sortant des sentiers battus. _x000D_
Michael a parcouru le monde entier pour son travail. Nous avons eu l'idée d'aménager cet appartement en offrant une prestation digne des beaux hôtels, avec la convivialité, la qualité et l'accueil personnalisé en prime ! _x000D_
Nous avons conçu notre appartement les Toits de Lyon comme si c'était pour nous : matériaux et literie de qualité, équipements pour un séjour tout confort, décoration..._x000D_
Nous aimons tout particulièrement la gastronomie lyonnaise, le shopping, l'architecture et les voyages. Nous serons ravis de faire votre connaissance, de vous faire découvrir nos bonnes adresses et nos bons plans !",,,f,1st Arrondissement,1.0,1.0,t,2e Arrondissement,45.76489,4.8314,Entire loft,Entire home/apt,3,1.0,1.0,2.0,139.0,4,1125,4,4,1125,1125,4.0,1125.0,5,28,50,116,39,0,0,2022-06-11,4.9,5.0,4.92,5.0,6938112369158,t,1,1,1,0,0.33
19,19,"❤️   Lyon 70 m² Quiet, with Balcony, Clean++ ❤️",1803736,Lisa,2012-02-24,"Valencia, Spain","Intriguée par l'être humain et sa complexité, je m'intéresse à la santé, au bien-être et à la science, ce qui est l'essence même de mon travail._x000D_
Passionnée de danse sociale, l'univers de mes soirées varie entre bachata, kizomba, west coast swing ou encore tango argentin..._x000D_
Avide de voyages, j'ai commencé à louer mon appartement afin de financer un tour du monde d’un an. Depuis, la bougeotte ne m'a pas quittée, et la location me permet de poursuivre mon chemin tout en disposant de mon logement lorsque j'en ai besoin, ce chez moi que j'aime tant et que j'ai entièrement rénové moi-même, et dont vous pourrez je l'espère profiter !_x000D_
*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*.*_x000D_
Intrigued by the human body and its complexity, I am interested in health, wellness and science, which is the essence of my work._x000D_
Passionate social dancer, my evenings alternate between the world of bachata, kizomba, west coast swing or argentine tango…_x000D_
Keen to travel, I started renting my home in order to fund a one year world trip. Since then, it seems I have not been able to settle down, and short-term rentals allow me to keep moving around while being able to come back to my apartment anytime I want, this home I genuinely love and renovated myself entirely, and which I hope you will enjoy!  ",within an hour,1.0,f,6th Arrondissement,2.0,2.0,t,6e Arrondissement,45.76648,4.84947,Entire rental unit,Entire home/apt,4,1.5,2.0,3.0,147.0,1,1125,1,31,46,540,2.1,340.9,2,13,43,270,244,20,1,2024-11-30,4.81,4.76,4.92,4.79,6938612352787,f,1,1,1,0,1.64
21,21,Lovely typical flat in the old Lyon,3165326,Mila & Julien,2012-08-05,"Lyon, France","My name is Julien, I have been doing airBNB for a long time now and I still love it. I am found of music, cinema and travels. I know my city by the book so do not hesitate to ask for things to do, to see or places to eat. My flat is ideally located and you won't find a better deal in the city :) my girlfriend Mila is russian and may welcome you sometimes",within an hour,1.0,t,5th Arrondissement,3.0,3.0,t,5e Arrondissement,45.75793,4.825,Entire rental unit,Entire home/apt,2,1.0,2.0,2.0,102.0,365,1125,365,365,1125,1125,365.0,1125.0,30,60,90,365,47,0,0,2021-07-24,4.64,4.78,4.76,4.93,,t,3,2,2,0,0.31
22,22,"cottage in ""Monchat""",3560828,Nicolas,2012-09-13,"Lyon, France","Emmanuelle et moi (Nicolas) ainsi que nos deux fils avons rénové cette maison datant de 1880. La maison étant trop grande pour nous, l'idée a été de crée dans l'aile de la maison un appartement a notre gout pour nos hotes. Nous aimons le contact et faisons tout pour votre confort et vous guider dans la découverte de notre belle ville.",,,f,3rd Arrondissement,1.0,1.0,t,3e Arrondissement,45.74342,4.88471,Entire townhouse,Entire home/apt,4,1.0,2.0,2.0,146.0,3,15,3,3,15,15,3.0,15.0,0,0,0,74,46,0,0,2022-09-21,4.91,4.98,4.96,4.67,6938312657827,f,1,1,1,0,0.34
23,23,Un grand appartement à Lyon,3922797,Sylvain,2012-10-19,"Lyon, France","Nos filles s'ennuient s'il n'y a pas ""d'invités"" à la maison. On s'est dit que notre appartement ne devait pas rester vide même quand nous ne sommes pas là puisque c'est sa vocation ! Découvrir une région dans des conditions super confortables, en famille, c'est ce que nous recherchons et aussi ce que nous proposons ! Au plaisir de vous rencontrer bientôt !",within a few hours,1.0,t,7th Arrondissement,1.0,1.0,t,7e Arrondissement,45.74071,4.84146,Entire rental unit,Entire home/apt,6,2.0,4.0,4.0,140.0,2,20,2,4,20,20,2.1,20.0,0,0,7,24,109,8,1,2024-12-08,4.94,4.95,4.99,4.65,6938712604861,f,1,1,1,0,0.74
