,Unnamed: 0,name,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_entire_homes.1,calculated_host_listings_count_shared_rooms,reviews_per_month
0,0,"Duplex avec vue, centre ville",269557,Isabelle,2010-10-24,"Lyon, France",I'm 47 years old. I enjoy books and arts. I'm from Lyon and I would be glad to welcome you.,within a few hours,1.0,f,5th Arrondissement,1.0,3.0,t,5e Arrondissement,45.76314,4.82976,Entire rental unit,Entire home/apt,5,2.5,3.0,6.0,130.0,90,1125,30,90,1125,1125,79.7,1125.0,14,14,27,302,56,1,0,2024-06-30,4.7,4.71,4.78,4.86,"Available with a mobility lease only (""bail mobilité"")",f,1,1,1,0,0.33
4,4,Quartier Terreaux 4/6 pers. Hyper centre / Clim,832917,Giuseppina,2011-07-18,"Rhône-Alpes, France","Mon pays d'origine est l'Italie, mais je réside en France depuis de longues années. J'aime beaucoup Lyon ma ville d'adoption.",within an hour,1.0,f,1st Arrondissement,5.0,5.0,t,1er Arrondissement,45.76695,4.83241,Entire rental unit,Entire home/apt,6,1.0,3.0,4.0,194.0,2,90,2,2,1125,1125,2.0,1125.0,21,49,79,169,452,32,2,2024-11-24,4.62,4.86,4.83,4.88,6938112368465,f,2,2,2,0,2.99
6,6,very pleasant and located idealment,1308521,Anaïs,2011-10-18,"Lyon, France","Nous vivons à Lyon avec nos deux enfants depuis des années. Nous aimons beaucoup cette ville et tout ce qu'elle propose._x000D_
Nous aimons beaucoup voyager tous ensemble, plus ou moins loin!_x000D_
Nous serons très heureux de vous accuellir dans notre appatrement et de vous aider à decouvrir cette belle ville qu'est Lyon!_x000D_
Vous êtes les bienvenues! N'hesitez pas à nous contacter, nous repondrons à toutes vos questions et ferons notre possible pour rendre votre sejour agréable._x000D_
En esperant vous voir bientôt!",within a few hours,1.0,f,,1.0,2.0,t,7e Arrondissement,45.75207,4.83978,Entire rental unit,Entire home/apt,6,1.0,3.0,4.0,210.0,2,30,2,2,30,30,2.0,30.0,24,52,82,357,28,3,1,2024-12-08,4.81,4.64,4.93,4.75,6938724479937,f,1,1,1,0,0.18
9,9,Roomy and luminous apartment,1683652,NATHALIE Et ALAIN,2012-02-01,"Lyon, France","Nous avons 2 garçons de 22 et 25 ans. Nous adorons voyager  et passer du  temps en famille ou entre amis. C'est un plaisir de recevoir du monde chez nous et à Lyon, grande et belle ville où l'on peut tout faire.",within an hour,1.0,f,3rd Arrondissement,3.0,3.0,t,3e Arrondissement,45.7467,4.87099,Entire rental unit,Entire home/apt,6,2.0,2.0,2.0,77.0,2,12,2,2,12,12,2.0,12.0,1,1,13,13,28,3,0,2024-08-17,4.79,4.61,4.86,4.79,6938312655352,f,1,1,1,0,0.19
10,10,"★SAXE & THE CITY★ 90m², Quiet, Balcony, Clean++ ❤️",1738855,Amael Et Ida,2012-02-12,"Lyon, France","Avides de voyages, nous avons commencé à louer notre appartement afin de financer un tour du monde de un an. Depuis, la bougeotte ne nous a pas quitté, et la location de notre appartement nous permet de poursuivre notre chemin tout en disposant de notre logement lorsque nous en avons besoin!_x000D_
_x000D_
Que vous veniez à Lyon pour des raisons professionnelles ou pour visiter, en famille ou entre amis, notre appartement confortable et de grande capacité vous permettra de passer un séjour agréable. _x000D_
_x000D_
Nous sommes des hôtes discrets mais nous répondrons toujours présent pour vous donner les conseils dont vous pourriez avoir besoin. N'hésitez pas à nous contacter, nous essayons d'être au plus réactif et à l'écoute de vos attentes afin que votre séjour soit le plus agréable possible ! _x000D_
_x000D_
A très bientôt à Lyon ou ailleurs, puisque nous sommes aussi des utilisateurs du site en tant que voyageurs!",within an hour,1.0,t,3rd Arrondissement,1.0,3.0,t,3e Arrondissement,45.75383,4.84758,Entire rental unit,Entire home/apt,8,1.5,3.0,5.0,194.0,1,1125,1,1,1,1125,1.0,81.0,7,27,54,286,353,38,2,2024-11-27,4.84,4.74,4.9,4.72,6938312360788,t,1,1,1,0,2.32
23,23,Un grand appartement à Lyon,3922797,Sylvain,2012-10-19,"Lyon, France","Nos filles s'ennuient s'il n'y a pas ""d'invités"" à la maison. On s'est dit que notre appartement ne devait pas rester vide même quand nous ne sommes pas là puisque c'est sa vocation ! Découvrir une région dans des conditions super confortables, en famille, c'est ce que nous recherchons et aussi ce que nous proposons ! Au plaisir de vous rencontrer bientôt !",within a few hours,1.0,t,7th Arrondissement,1.0,1.0,t,7e Arrondissement,45.74071,4.84146,Entire rental unit,Entire home/apt,6,2.0,4.0,4.0,140.0,2,20,2,4,20,20,2.1,20.0,0,0,7,24,109,8,1,2024-12-08,4.94,4.95,4.99,4.65,6938712604861,f,1,1,1,0,0.74
25,25,Lovely  Apt 10mn from Lyon center,2013018,Françoise,2012-03-26,"Sainte-Foy-lès-Lyon, France","Bonjour !_x000D_
Nous serons ravis de vous accueillir ma famille et moi. Nous adorons voyager, rencontrer du monde, de nouvelles cultures ou coutumes. _x000D_
Nous saurons rendre votre séjour agréable !",,,f,,1.0,1.0,t,5e Arrondissement,45.7486,4.81133,Entire townhouse,Entire home/apt,6,,1.0,,,2,40,2,2,40,40,2.0,40.0,0,0,0,0,79,0,0,2020-02-19,4.85,4.9,4.94,4.48,,f,1,1,1,0,0.54
31,31,Duplex avec jardin - Lyon centre,3395672,Anaïs,2012-08-28,"Lyon, France","Bienvenue chez nous,_x000D_
Nous sommes heureux de vous accueillir dans notre appartement familial._x000D_
Nous vous aiderons à découvrir Lyon et ses environs,_x000D_
À très bientôt !",,,f,1st Arrondissement,1.0,1.0,t,1er Arrondissement,45.77286,4.83128,Entire rental unit,Entire home/apt,8,,4.0,,,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,104,0,0,2023-08-14,4.75,4.75,4.83,4.89,6938112946210,f,1,1,1,0,0.78
38,38,Loft heart of Lyon ideal for family,4634428,Anthony (& Claire),2013-01-08,"Lyon, France","Dirigeant de Novius & Clubble, éditeur de logiciels Internet, depuis sa création en 1996._x000D_
Je suis passionné par Internet, la Science, l'Astronomie, la Moto, par Lyon, par la découverte du monde, et de façon générale par tout ce qui bouge, qui pense et qui vit._x000D_
_x000D_
Leader of Novius, publisher of Internet software, since its inception in 1996._x000D_
I am passionate about the Internet, Science, Astronomy, Moto, Lyon, with the discovery of the world, and generally by anything that moves, thinks and lives.",,,t,3rd Arrondissement,1.0,1.0,t,3e Arrondissement,45.75874,4.84776,Entire rental unit,Entire home/apt,8,2.0,5.0,6.0,240.0,2,14,3,3,14,14,3.0,14.0,0,1,1,1,183,13,1,2024-12-08,4.9,4.92,4.93,4.85,6938312653768,f,1,1,1,0,1.3
39,39,GD STAND - BUSINESS OR HOLIDAYS- 4*,4829230,Carole,2013-01-24,"Collonges-au-Mont-d'Or, France",,within an hour,1.0,t,6th Arrondissement,5.0,5.0,t,6e Arrondissement,45.76964,4.85835,Entire serviced apartment,Entire home/apt,6,2.0,2.0,3.0,180.0,4,92,4,4,92,92,4.0,92.0,4,27,57,332,36,1,0,2024-09-16,4.56,4.6,4.86,4.63,6938613145318,f,2,2,2,0,0.27
40,40,LYON BROTTEAUX- MEUBLE LONGUE DUREE,4829230,Carole,2013-01-24,"Collonges-au-Mont-d'Or, France",,within an hour,1.0,t,6th Arrondissement,5.0,5.0,t,6e Arrondissement,45.76758,4.8584,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,120.0,45,365,45,45,365,365,45.0,365.0,28,51,81,355,5,3,0,2024-09-10,5.0,4.8,4.8,4.6,"Available with a mobility lease only (""bail mobilité"")",f,2,2,2,0,0.07
41,41,Old nice and cosy appartment,4890321,Karine,2013-01-29,"Lyon, France","Après avoir longtemps travaillé dans la communication publique et le théâtre j'ai entrepris une reconversion et viens de m'installer comme tapissier en sièges !
Je vis à Lyon, une ville que j'adore ! J'ai deux enfants de 21 et 24 qui ont récemment pris leur envol. J'aime le théâtre, la danse (que je pratique en amateur ... contemporain, tango...), cuisiner pour la famille et les amis,  lire, et voyager, seule , avec mon compagnon Sébastien et quelques fois avec mes enfants ou des amis! Mais je suis surtout curieuse de tout ! J'aime faire de nouvelles rencontres et je serai ravie de vous accueillir chez moi, de partager quelques moments ou quelques jours avec vous et de faire en sorte que vous passiez un adorable séjour dans cette ville que j'adore.
Ma devise : pourquoi pas !",within a few hours,0.9,t,,3.0,3.0,t,7e Arrondissement,45.74607,4.84326,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,150.0,2,15,2,2,15,15,2.0,15.0,2,24,54,144,65,12,0,2024-11-11,4.8,4.65,4.91,4.82,6938213041203,f,3,1,1,0,0.46
44,44,Appt pour 8 personnes à Lyon 1er,4962068,Sophie,2013-02-04,"Lyon, France","Professeur des écoles, je suis très heureuse d'habiter Lyon depuis quelques années car c'est une ville très agréable que je vous invite à découvrir à votre tour. ",within an hour,1.0,t,1st Arrondissement,2.0,2.0,t,1er Arrondissement,45.76825,4.83128,Entire rental unit,Entire home/apt,9,1.0,2.0,4.0,400.0,1,1125,1,1,1125,1125,1.0,1125.0,12,30,60,333,154,18,1,2024-11-24,4.79,4.82,4.92,4.82,6938112544352,f,2,1,1,0,1.09
46,46,Downtown haussmannien Apart - 3 BDR,5536467,Jp,2013-03-19,"Lyon, France","Hello, my name is JP._x000D_
 I like art, music, playing guitar and traveling. I just love the people and the different cultures that I had the opportunity to experience for several years living in different countries. I hope you like Lyon and its surroundings. Welcome and enjoy your stay in our family apartment._x000D_
Bonjour, je m'appelle JP.  J'aime l'art, la musique, jouer de la guitare et voyager.  J'aime tout simplement les gens et les differentes cultures que j ai eu l occasion de cotoyer pendant plusieurs annees en vivant dans differents pays .  J'espere que vous aimerez Lyon et ses alentours.  Bienvenue et bon sejour dans notre appartement familial .",a few days or more,0.0,t,3rd Arrondissement,1.0,2.0,t,3e Arrondissement,45.76143,4.8455,Entire rental unit,Entire home/apt,6,1.0,3.0,4.0,299.0,2,1125,2,2,1125,1125,2.0,1125.0,1,1,1,195,126,5,0,2024-06-03,4.9,4.91,4.91,4.9,6938312609030,f,1,1,1,0,0.89
49,49,la maison choulans,4469480,Louis,2012-12-22,"Lyon, France",Adepte de découverte et de voyage. J’ai le sens du détail et serais ravi de vous accueillir lors de vos séjours. Toujours prêt à découvrir de nouveaux horizons et à vous faire découvrir mes adresses secrètes.,,,f,,13.0,22.0,t,5e Arrondissement,45.75448,4.81607,Entire townhouse,Entire home/apt,5,1.0,2.0,3.0,144.0,6,32,6,6,32,32,6.0,32.0,5,5,5,15,40,11,0,2024-10-10,4.85,4.73,4.83,4.73,6938513504542,f,7,6,6,0,0.29
60,60,"Old Lyon 180° view,1250 sq+garden",7212199,Emma,2013-07-01,"Lyon, France","J'habite à Lyon depuis 15 ans, ville que j'adore et que je serai ravie de vous faire découvrir._x000D_
J'aime voir mes amis, randonner, voyager et passer du temps avec mes enfants",within an hour,1.0,t,5th Arrondissement,4.0,5.0,t,5e Arrondissement,45.76037,4.82485,Entire rental unit,Entire home/apt,8,2.0,3.0,6.0,314.0,2,1125,2,5,1125,1125,2.3,1125.0,14,32,60,274,286,22,1,2024-11-17,4.79,4.25,4.87,4.87,6938512403294,f,4,4,4,0,2.06
